BUSINESSNAME,ISSDTTM,EXPDTTM,LICCAT,CAPACITY,STNO,Address,Location,Lat,Long,geometry,neighborhood
"286  CAMBRIDGE STREET, INC.",03/28/2016 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,56,286,  Cambridge ST,"(0.0, 0.0)",42.360938700000005,-71.06818470779852,POINT (-71.06818470779852 42.36093870000001),Beacon Hill
"Anthony's Restaurant Group, LLC",06/30/2015 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,0,5,  Fairmount AV,"(42.25553, -71.121111)",42.255492,-71.12097462068967,POINT (-71.12097462068967 42.255492),Hyde Park
APPLE NEW ENGLAND LLC,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,127,381, Chestnut Hill Av,"(42.335181, -71.151107)",42.335699,-71.150696,POINT (-71.150696 42.335699),Brighton
"569 TREMONT, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,72,569,  Tremont ST,"(42.343801, -71.07235)",42.3437826,-71.07235820000001,POINT (-71.07235820000001 42.3437826),South End
"ARIA TRATTORIA, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,48,253,  Hanover ST,"(0.0, 0.0)",42.36327044444445,-71.05488511111109,POINT (-71.05488511111109 42.36327044444445),North End
ARIANA RESTAURANT INCORPORATED,08/14/2015 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,48,384, Western Av,"(0.0, 0.0)",42.36280639393939,-71.13754645454544,POINT (-71.13754645454544 42.36280639393939),Brighton
"DONAN, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,99,4,  Prince ST,"(42.36405, -71.05368)",42.36405675,-71.05368731942583,POINT (-71.05368731942583 42.36405675),North End
"NANCY'S, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,19,89,  Charles ST,"(42.35859, -71.07049)",42.35856695,-71.07050151847827,POINT (-71.07050151847827 42.35856695),Beacon Hill
"ASHMONT GRILL, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,120,555,  Talbot AV,"(42.286091, -71.064728)",42.2860989,-71.0646266,POINT (-71.0646266 42.2860989),Dorchester
"ASIAN GARDEN, INC.",11/06/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,42,28,  Harrison AV,"(42.35195, -71.06103)",42.336417,-71.071885,POINT (-71.07188499999999 42.336417),South End
SPACESHIP PICNIC LLC,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,49,47,  Massachusetts AV,"(42.34982, -71.08927)",42.34984945,-71.08925272656502,POINT (-71.08925272656502 42.34984945),Back Bay
"FARAI, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,80,407, Washington St,"(0.0, 0.0)",42.297369399999994,-71.07280156888943,POINT (-71.07280156888943 42.29736939999999),Dorchester
"ATLANTIC BEER GARDEN, INC.",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,228,146,  Northern AV,"(42.350933, -71.04298)",42.350227519387886,-71.0424898628327,POINT (-71.0424898628327 42.35022751938789),South Boston Waterfront
"BBRG TR, LLC",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,195,761,  Boylston ST,"(42.34935, -71.08121)",42.349293100000004,-71.0811812,POINT (-71.0811812 42.3492931),Back Bay
"THICKER THAN WATER, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,95,838,  Beacon ST,"(42.34741, -71.10321)",42.347314000000004,-71.10314670000001,POINT (-71.10314670000001 42.347314),Fenway
"GLENBEG, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,300,65,  Exeter ST,"(0.0, 0.0)",42.349039399999995,-71.07946329999999,POINT (-71.07946329999999 42.3490394),Back Bay
550 TREMONT LLC,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,38,550,  Tremont ST,"(42.343895, -71.071263)",42.34389960000001,-71.07127516873739,POINT (-71.07127516873739 42.34389960000001),South End
"BABBO ENOTECA FP, LLC",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,180,11, Fan Pier  Bl,"(0.0, 0.0)",42.35384344897959,-71.04543369387757,POINT (-71.04543369387757 42.35384344897959),South Boston Waterfront
"107 SALEM RESTAURANT, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,115,107,  Salem ST,"(42.36418, -71.05538)",42.364204,-71.055436,POINT (-71.055436 42.364204),North End
"BB SOCIAL CLUB, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,272,867, Boylston St,"(0.0, 0.0)",42.348667799999994,-71.0834071,POINT (-71.0834071 42.34866779999999),Back Bay
"BAMBOO, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,49,1616,  Commonwealth AV,"(42.343246, -71.142709)",42.343512991035425,-71.14350975672345,POINT (-71.14350975672345 42.34351299103542),Brighton
"PHANPHIT, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,19,433,  Washington ST,"(42.349345, -71.156794)",42.3493421,-71.15678879999999,POINT (-71.15678879999999 42.3493421),Brighton
BANGKOK CITY CORPORATION,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,118,167,  Massachusetts AV,"(42.345998, -71.087473)",42.346075299999995,-71.08735340000001,POINT (-71.08735340000001 42.3460753),Fenway
"RRG, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,144,553, Tremont St,"(42.344321, -71.07184)",42.343996000000004,-71.07174,POINT (-71.07174000000001 42.343996),South End
