,BUSINESSNAME,ISSDTTM,EXPDTTM,LICCAT,LICCATDESC,CAPACITY,STNO,Address,Location,5,Final_Lat,Final_Long,geometry,neighborhood,ltype
250,"A.T.G., INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,349,331.0,  Columbus AV,"(42.346243, -71.0752)","-71.07504,42.34606",42.346243,-71.0752,POINT (-71.0752 42.346243),South End,All Alc.
251,BALTARY CORP.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,90,342.0,W Broadway ,"(0.0, 0.0)","-71.04986,42.338177",42.338177,-71.04986,POINT (-71.04986 42.338177),South Boston,All Alc.
252,"Clover Fast Food, Inc.",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,0,27.0, School St,"(42.35772, -71.05907)","-71.05901,42.357674",42.35772,-71.05907,POINT (-71.05907000000001 42.35772),Downtown,Malt Wine Liq.
253,BHC CORPORATION GENERAL PARTNER,11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,433,209.0,  Columbus AV,"(42.348549, -71.07237)","-71.072945,42.34774",42.348549,-71.07237,POINT (-71.07237000000001 42.348549),Back Bay,All Alc.
254,"BAYSIDE CLUB HOTEL, LLC",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,240.0,  Mount Vernon ST,"(42.319024, -71.045007)","-71.047485,42.319714",42.319024,-71.045007,POINT (-71.045007 42.319024),Dorchester,All Alc.
255,"COLUMBUS PARTNERS, INC.",11/08/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,70,329.0,  Columbus AV,"(42.34632, -71.075098)","-71.075005,42.346092",42.34632,-71.075098,POINT (-71.075098 42.34632),South End,All Alc.
256,HUNTINGTON HOTEL CORP.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,120.0, Huntington Av,"(0.0, 0.0)",,,,POINT (nan nan),Back Bay,All Alc.
257,"1844, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,26,1844.0,  Centre ST,"(42.28632, -71.154101)","-71.15421,42.286476",42.28632,-71.154101,POINT (-71.154101 42.28632),West Roxbury,Malt Wine
258,"PIER 50, LLC",12/01/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,237,50.0, Northern Av,"(0.0, 0.0)","-71.04828,42.353996",42.353996,-71.04828,POINT (-71.04828000000001 42.353996),South Boston Waterfront,All Alc.
259,"BKW PARTNERS, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,123,329.0,  Huntington AV,"(42.340923, -71.08819)","-71.08832,42.340706",42.340923,-71.08819,POINT (-71.08819 42.340923),Fenway,Malt Wine Liq.
260,"ONE HUNDRED SEVENTY THREE MILK ST.,INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,203,171.0,  Milk ST,"(42.35827, -71.0533)","-71.05348,42.358368",42.35827,-71.0533,POINT (-71.05329999999999 42.35827),Downtown,All Alc.
261,"CPF COPLEY LESSEE, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,47.0, Huntington Av,"(42.348314, -71.078667)","-71.07727,42.349144",42.348314,-71.078667,POINT (-71.078667 42.348314),Back Bay,All Alc.
