,neighborhood,LAND_SF,YR_BUILT,YR_REMOD,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,GROSS_AREA,LIVING_AREA,U_INT_CND,AC_final,HEAT_TYP,Tax_Exempt,PPSQFT
0,Beacon Hill,1488.7,1902.8,1997.3,656460.0,1521890.0,2178350.0,2295980.9,1488.7,3152.7,2424.3,1.5,0.7,3.9,0.0,859.4879400351248
0,Beacon Hill,1962.5,1870.4,1790.7,965120.0,2548180.0,3513300.0,3703018.4,1962.5,3992.1,3279.8,1.1,0.7,3.8,0.0,935.6668802906923
0,Beacon Hill,2003.4,1714.4,2004.111111111111,771060.0,2498890.0,3269950.0,3042645.0,2003.4,3983.3,3115.4,1.0,1.1,3.9,0.3,inf
0,Beacon Hill,1864.5,1694.7,2004.7777777777778,675960.0,1652690.0,2328650.0,2449063.7,1864.5,3208.6,2529.6,1.4,1.1,5.6,0.1,inf
0,Beacon Hill,2330.3,1755.6,2011.75,488650.0,2539510.0,3028160.0,2729544.0,2330.3,4018.1,3329.7,0.8,1.4,1.2,0.2,969.3729372451764
0,Beacon Hill,4325.2,1909.1,1598.9,777202.5,3733664.3,4510866.8,5319839.8,4325.2,6102.9,5209.1,1.3,1.1,3.9,0.0,816.5797104304595
0,Beacon Hill,2673.5,1909.0,1989.2,348300.0,1315250.0,1663550.0,2931083.7,2673.5,3891.5,3095.5,3.2,0.4,5.6,0.0,943.9511954578944
0,Beacon Hill,2315.1,1930.7,1989.8,390420.0,1249670.0,1640090.0,640558.0,2315.1,3925.5,3285.4,2.3,0.6,4.3,0.2,841.5204425207451
0,Beacon Hill,935.9,1930.0,1983.5,0.0,989500.0,989500.0,1042933.2,935.9,935.9,935.9,3.7,0.2,7.0,0.0,1059.9009226449286
0,Beacon Hill,1063.3,1880.9,1991.7,0.0,846009.0,846009.0,891693.6,1063.3,766.9,766.9,2.1,0.5,6.3,0.0,1126.0487906389485
0,Beacon Hill,913.3,1704.9,1777.0,310310.0,916150.0,1226460.0,1292688.9,913.3,1080.5,1056.5,1.1,0.9,4.4,0.0,inf
0,Beacon Hill,1421.3,1891.7,1995.0,494530.0,1081879.2,1576409.2,2505448.4,1421.3,2995.1,2473.6,1.1,1.5,2.2,0.0,689.988077876598
0,Beacon Hill,1091.8,1892.0,1809.2,841300.0,1534970.0,2376270.0,3288422.6,1091.8,4021.3,3068.0,0.0,1.4,2.5,0.0,595.0029889080864
0,Beacon Hill,898.0,1845.9,1609.5,1006624.5,1769993.5,2776618.0,2926555.6,898.0,3447.6,2473.6,0.0,0.5,5.5,0.0,797.2560501323364
0,Beacon Hill,985.7,1909.3,1989.8,129210.0,973150.0,1102360.0,1161887.6,985.7,1187.5,1097.6,2.9,0.3,5.3,0.0,972.7773598159433
0,Beacon Hill,1721.1,1881.8,2007.9,1362680.0,3008970.0,4371650.0,4607719.1,1721.1,5622.8,4189.3,0.0,1.1,3.1,0.0,785.9259960089272
0,Beacon Hill,1146.5,1887.5,1989.1,349810.0,1208190.0,1558000.0,1642131.9,1146.5,1907.8,1524.3,1.4,0.4,5.8,0.0,957.6268990980271
0,Beacon Hill,552.5,1877.0,1995.1,0.0,603450.0,603450.0,636036.2,552.5,552.5,552.5,2.8,0.1,7.0,0.0,1093.790858709543
0,Beacon Hill,1187.2,1875.4,1996.7,239570.0,1382005.1,1621575.1,1709140.3,1187.2,1628.6,1370.0,1.6,0.5,5.3,0.0,1102.7506736100077
0,Beacon Hill,762.1,1857.0,1994.9,242880.0,921300.0,1164180.0,1227045.7,762.1,1374.2,1142.5,1.3,0.4,5.3,0.0,1055.4066649443516
0,Beacon Hill,2409.9,1889.4,2008.2,0.0,993750.0,993750.0,1047412.8,2409.9,967.9,967.9,3.6,0.7,5.3,0.0,1030.0232234972975
0,Beacon Hill,1672.5,1862.0,1994.8,0.0,1331490.0,1331490.0,1403390.6,1672.5,1460.2,1377.6,2.7,1.0,5.5,0.0,922.5642512564427
0,Beacon Hill,1975.5,1862.0,1990.9,0.0,2047059.0,2047059.0,2157600.4,1975.5,1807.6,1778.7,2.6,1.0,4.5,0.0,1059.9609421534685
0,Beacon Hill,1880.7,1842.2,1988.0,150070.0,1834442.8,1984512.8,2091676.6,1880.7,2652.8,2250.5,2.6,1.0,4.5,0.0,941.7202247582302
0,Beacon Hill,1770.6,1856.4,1803.0,947910.0,2145170.0,3093080.0,3260106.4,1770.6,3693.2,2951.7,0.1,0.9,3.8,0.0,944.008300978708
0,Beacon Hill,1225.6,1850.0,1984.7,0.0,1153340.0,1153340.0,1215620.4,1225.6,1225.6,1225.6,3.2,1.0,7.0,0.0,933.6261940430262
0,Beacon Hill,2108.3,1877.3,2002.4444444444443,857680.0,2475780.0,3333460.0,2921772.4,2108.3,5694.3,4670.1,0.7,1.3,2.7,0.2,734.6429471909081
0,Beacon Hill,1643.8,1868.8,1995.0,604790.0,1821250.0,2426040.0,2557046.0,1643.8,3261.4,2854.4,2.0,0.9,4.4,0.0,862.6910320309685
0,Back Bay,3501.3,1900.9,1984.111111111111,527050.0,2188340.0,2715390.0,2862021.1,3501.3,5742.7,5742.7,2.3,0.6,4.9,0.0,1003.4502486484299
0,Back Bay,3552.9,1901.6,1805.1,326440.0,1051658.8,1378098.8,2187474.7,3552.9,7204.9,6524.7,1.5,1.1,2.8,0.0,661.3231391907624
0,Back Bay,1307.8,1881.9,1597.2,234330.0,970830.0,1205160.0,1270238.7,1307.8,1538.3,1410.6,1.4,1.0,4.9,0.0,821.382611297719
0,Back Bay,1420.8,1898.7,1994.75,444210.0,1338620.0,1782830.0,1987515.3,1420.8,2346.3,2079.9,1.2,0.8,1.8,0.0,805.2479270415602
0,Back Bay,1033.8,1912.9,1998.0,86630.0,723111.0,809741.0,853466.9,1033.8,903.9,864.8,1.3,0.9,5.0,0.0,925.3523536636426
0,Back Bay,6795.5,1907.9,2006.4,4582150.0,9193030.0,13775180.0,15965439.0,6795.5,20748.4,17622.5,2.0,1.2,1.4,0.0,850.4679391450056
0,Back Bay,1862.4,1911.8,1997.9,280520.0,1149310.0,1429830.0,1507040.9,1862.4,1941.0,1677.9,1.7,0.9,4.9,0.0,761.9531174493452
0,Back Bay,1239.4,1900.9,1990.4,0.0,861880.0,861880.0,908421.5,1239.4,989.4,989.4,3.4,0.2,5.7,0.0,878.1752569591707
0,Back Bay,1569.3,1911.8,1995.3333333333333,359190.0,995920.0,1355110.0,1477831.6,1569.3,3674.7,3008.6,1.7,1.1,2.9,0.0,661.9903317937905
0,Back Bay,975.4,1900.9,1988.8,0.0,511480.0,511480.0,539099.9,975.4,576.0,576.0,3.3,0.3,6.1,0.0,897.2454129015114
0,Back Bay,1294.9,1890.9,1990.7,132130.0,1060240.0,1192370.0,1812672.7,1294.9,1579.5,1452.7,3.6,1.1,4.5,0.0,829.2710360533738
0,Back Bay,1183.2,1898.1,2000.8,300110.0,904840.0,1204950.0,1298062.6,1183.2,2300.5,1910.3,2.0,1.4,1.0,0.0,777.9889287773087
0,Back Bay,1971.1,1899.4,2004.4,252560.0,1024290.0,1276850.0,1345799.8,1971.1,1936.6,1668.0,2.4,1.4,1.0,0.0,879.5783554759313
0,Back Bay,1738.5,1909.6,2000.0,0.0,1401006.8,1401006.8,1476661.2,1738.5,1478.7,1478.7,3.0,0.8,3.3,0.0,941.8148296692962
0,Back Bay,1706.3,1914.5,1996.2,84510.0,1026550.0,1111060.0,1171057.4,1706.3,1610.7,1483.1,2.5,1.1,3.9,0.0,812.0291534410841
0,Back Bay,1449.3,1908.1,1997.9,182070.0,919380.0,1101450.0,1160928.3,1449.3,1468.0,1282.1,2.4,1.1,2.4,0.0,867.1170659645052
0,Back Bay,1412.8,1895.4,1771.6666666666667,398340.0,1182903.0,1581243.0,1666630.2,1412.8,2117.0,1766.1,2.4,0.6,4.3,0.0,844.8919807906798
0,Back Bay,752.8,1890.0,1993.8,0.0,715550.0,715550.0,754189.7,752.8,752.8,752.8,3.4,0.2,1.0,0.0,985.5506736487927
0,Back Bay,752.8,1890.0,1985.0,0.0,687750.0,687750.0,724888.5,752.8,752.8,752.8,4.0,0.0,1.0,0.0,971.7753254379722
0,Back Bay,675.0,1890.0,1989.9,0.0,657490.0,657490.0,692994.5,675.0,675.0,675.0,4.0,0.1,1.1,0.0,1004.7067098910533
0,Back Bay,728.3,1890.0,1983.2,0.0,656630.0,656630.0,692088.2,728.3,728.3,728.3,4.0,0.0,1.0,0.0,946.2400701007637
0,Back Bay,1311.4,1901.8,1991.8,92850.0,841000.0,933850.0,984277.8,1311.4,1467.2,1336.3,3.2,0.5,0.9,0.0,824.6338274680573
0,Back Bay,1458.6,1907.2,2000.7,45050.0,930550.0,975600.0,1028282.5,1458.6,1573.5,1426.9,2.7,1.1,3.2,0.0,772.8114214809907
0,Back Bay,1775.7,1906.3,1995.1,89320.0,887450.0,976770.0,1042373.5,1775.7,1329.0,1209.0,2.3,0.7,2.6,0.0,827.7605707855732
0,Back Bay,918.5,1909.0,1989.6,0.0,545150.0,545150.0,574588.2,918.5,677.0,677.0,1.5,0.2,5.7,0.0,806.5389192163445
0,Back Bay,1406.1,1903.6,1982.3,131270.0,839510.0,970780.0,1202216.8,1406.1,1539.7,1309.8,2.2,1.0,0.7,0.0,809.5831843294729
0,Back Bay,1236.1,1909.0,1993.3,114670.0,652270.0,766940.0,808354.8,1236.1,1297.4,1098.4,1.3,0.6,0.7,0.0,729.1059157907198
0,Back Bay,1235.9,1709.1,1991.2222222222222,0.0,910020.0,910020.0,1130295.3,1235.9,784.4,784.4,3.3,1.0,1.5,0.0,inf
0,Back Bay,1108.8,1899.0,1999.0,0.0,1313890.0,1313890.0,1384840.1,1108.8,1108.8,1108.8,3.8,1.0,1.5,0.0,1166.625084372486
0,Back Bay,1728.3,1919.4,1996.3,133720.0,1005430.0,1139150.0,1567225.1,1728.3,1899.8,1544.3,2.6,0.9,2.7,0.0,903.9670743211468
0,Back Bay,421.1,1925.0,1992.1,0.0,434640.0,434640.0,458110.7,421.1,421.1,421.1,1.8,0.0,6.0,0.0,1077.3294845771711
0,Back Bay,415.7,1925.0,1994.9,0.0,435400.0,435400.0,458911.6,415.7,415.7,415.7,2.1,0.1,6.5,0.0,1099.7619964404398
0,Back Bay,441.2,1925.0,1987.0,0.0,453790.0,453790.0,478294.8,441.2,441.2,441.2,1.9,0.0,7.0,0.0,1078.2493692635744
